Historic Areas,,
,,
id,region,TODO
ITA,Apennine,
SMR,Apennine,
VAT,Apennine,
TRST,Apennine,
ITA-TRST,Apennine,
ITA-TRST+DODEC,Apennine,
ITA-TRST+DODEC+VAT,Apennine,
ITA-SouthTyrol+DODEC+VAT,Apennine,
SVN,Balcan,
SRB+MNE+KSV,Balcan,
HRV,Balcan,
BIH,Balcan,
MKD,Balcan,
SFY,Balcan,
SFY-TRST,Balcan,
SFY-TRST-WestSVN,Balcan,
ALB,Balcan,
IMN,BritishIsles,
GBR+IRL+MLT,BritishIsles,
GBR+NIRL+MLT,BritishIsles,
IRL,BritishIsles,
GBR+NIRL,BritishIsles,
MLT,Apennine,
DEUR_1871-1919,Central,
AUT,Central,
CSSR_1918-1938,Central,
DEUR_1919-1945,Central,
DEU_UK_occ,Central,x
DEU_US_occ,Central,x
DEU_FR_occ,Central,x
DEU_CP_occ,Central,x
DEU_FR_occ-SAAR,Central,x
SAAR,Central,
POL,Central,
AUT_UK_occ,Central,x
AUT_US_occ,Central,x
AUT_FR_occ,Central,x
AUT_CP_occ,Central,x
HUN,Central,
BRD-SAAR,Central,
BRD,Central,
CSSR,Central,
DDR,Central,
DEU,Central,
DEU-SAAR,Central,
CZE,Central,
SVK,Central,
ESP,Iberia,
PRT,Iberia,
AND,Iberia,
GIB,Iberia,
DNK,Nordic,
DNK-Schleswig+GRL+FRO,Nordic,
DNK-Schleswig+GRL+FRO+ISL,Nordic,
DNK+GRL,Nordic,
DNK+GRL+FRO,Nordic,
FIN,Nordic,
FIN+Karelia_1826-1920,Nordic,
FIN+Karelia+Petsamo_1920-1940,Nordic,
FIN+Petsamo_1940-1944,Nordic,
FIN+Petsamo_1944-1947,Nordic,
FRO,Nordic,
GRL,Nordic,
ISL,Nordic,
NOR,Nordic,
NOR-SVJ,Nordic,
SVJ,Nordic,
SWE,Nordic,
SWNO,Nordic,
CYP,Ottoman,
TUR,Ottoman,
GRC,Ottoman,
BGR_1941-1947,Ottoman,
ROU_1930-1945,Ottoman,
ROU_1945-1947,Ottoman,
ROU,Ottoman,
BGR,Ottoman,
BLR,Soviet,
EST,Soviet,
LTU,Soviet,
LVA,Soviet,
MDA,Soviet,
RUS,Soviet,
UKR,Soviet,
CCCP,Soviet,
BEL,West,
BEL-EupMalm-MORS_1831-1919,West,
CHE,West,
FRA,West,
FRA-Elsass,West,
LIE,West,
LUX,West,
MCO,West,
MORS,West,
NLD,West,
